gene_family,n_members,n_genomes,n_diazotroph,n_non_diazo,n_genera,frac_diazotroph
GF_00412,66,66,63,3,19,0.9545454545454546
GF_00413,211,211,93,118,58,0.44075829383886256
GF_00414,92,92,33,59,36,0.358695652173913
GF_00415,209,182,106,103,58,0.507177033492823
GF_00416,48,48,46,2,14,0.9583333333333334
GF_00417,47,47,38,9,18,0.8085106382978723
GF_00418,40,40,32,8,15,0.8
GF_00419,75,75,67,8,24,0.8933333333333333
GF_00420,62,62,58,4,17,0.9354838709677419
GF_00421,54,54,47,7,19,0.8703703703703703
GF_00422,137,137,80,57,32,0.583941605839416
GF_00423,54,54,52,2,16,0.9629629629629629
GF_00424,111,111,48,63,26,0.43243243243243246
GF_00425,46,46,43,3,18,0.9347826086956522
GF_00426,150,149,70,80,36,0.4666666666666667
GF_00427,77,77,21,56,25,0.2727272727272727
GF_00428,44,44,9,35,11,0.20454545454545456
GF_00429,52,52,8,44,14,0.15384615384615385
GF_00430,128,127,52,76,37,0.40625
GF_00431,96,96,70,26,36,0.7291666666666666
GF_00432,148,148,81,67,41,0.5472972972972973
GF_00433,256,256,104,152,66,0.40625
GF_00434,138,138,43,95,39,0.3115942028985507
GF_00435,182,182,93,89,53,0.510989010989011
GF_00436,141,141,47,94,45,0.3333333333333333
GF_00437,74,74,65,9,31,0.8783783783783784
GF_00438,189,187,93,96,53,0.49206349206349204
GF_00439,42,42,2,40,10,0.047619047619047616
GF_00440,60,60,15,45,19,0.25
GF_00441,73,73,11,62,13,0.1506849315068493
GF_00442,55,55,54,1,12,0.9818181818181818
GF_00443,48,48,47,1,9,0.9791666666666666
GF_00444,41,41,40,1,10,0.975609756097561
GF_00445,63,63,62,1,16,0.9841269841269841
GF_00446,65,65,64,1,16,0.9846153846153847
GF_00447,54,54,53,1,12,0.9814814814814815
GF_00448,69,69,66,3,19,0.9565217391304348
GF_00449,133,69,129,4,20,0.9699248120300752
GF_00450,66,66,65,1,16,0.9848484848484849
GF_00451,53,53,52,1,14,0.9811320754716981
GF_00452,62,62,60,2,16,0.967741935483871
GF_00453,60,60,59,1,15,0.9833333333333333
GF_00454,49,49,48,1,9,0.9795918367346939
GF_00455,96,95,63,33,32,0.65625
GF_00456,47,47,4,43,4,0.0851063829787234
GF_00457,203,198,103,100,54,0.5073891625615764
GF_00458,60,60,8,52,10,0.13333333333333333
GF_00459,54,54,3,51,8,0.05555555555555555
GF_00460,55,55,5,50,9,0.09090909090909091
GF_00461,56,56,55,1,12,0.9821428571428571
GF_00462,47,47,47,0,12,1.0
GF_00463,55,55,53,2,14,0.9636363636363636
GF_00464,45,45,45,0,11,1.0
GF_00465,55,55,52,3,16,0.9454545454545454
GF_00466,40,40,40,0,6,1.0
GF_00467,50,50,49,1,11,0.98
GF_00468,73,73,70,3,22,0.958904109589041
GF_00469,67,67,66,1,17,0.9850746268656716
GF_00470,60,60,57,3,17,0.95
GF_00471,81,81,62,19,28,0.7654320987654321
GF_00472,86,86,77,9,26,0.8953488372093024
GF_00473,50,50,50,0,12,1.0
GF_00474,69,69,64,5,21,0.927536231884058
GF_00475,72,72,69,3,20,0.9583333333333334
GF_00476,74,74,71,3,22,0.9594594594594594
GF_00477,106,106,76,30,30,0.7169811320754716
GF_00478,68,68,67,1,17,0.9852941176470589
GF_00479,65,65,61,4,20,0.9384615384615385
GF_00480,71,71,60,11,27,0.8450704225352113
GF_00481,68,68,67,1,17,0.9852941176470589
GF_00482,58,58,51,7,17,0.8793103448275862
GF_00483,73,73,69,4,21,0.9452054794520548
GF_00484,54,54,50,4,14,0.9259259259259259
GF_00485,72,72,69,3,20,0.9583333333333334
GF_00486,72,72,69,3,20,0.9583333333333334
GF_00487,46,46,46,0,11,1.0
GF_00488,233,209,109,124,54,0.4678111587982833
GF_00489,71,71,61,10,23,0.8591549295774648
GF_00490,49,49,49,0,12,1.0
GF_00491,73,73,66,7,21,0.9041095890410958
GF_00492,55,55,52,3,15,0.9454545454545454
GF_00493,45,45,45,0,11,1.0
GF_00494,52,52,0,52,2,0.0
GF_00495,51,51,0,51,2,0.0
GF_00496,52,52,0,52,2,0.0
GF_00497,153,153,0,153,4,0.0
GF_00498,122,122,0,122,4,0.0
GF_00499,49,49,0,49,3,0.0
GF_00500,62,62,0,62,4,0.0
GF_00501,152,152,0,152,4,0.0
GF_00502,52,52,0,52,3,0.0
GF_00503,334,334,104,230,68,0.31137724550898205
GF_00504,97,97,0,97,4,0.0
GF_00505,54,54,0,54,3,0.0
GF_00506,56,56,0,56,3,0.0
GF_00507,70,70,0,70,3,0.0
GF_00508,52,52,0,52,3,0.0
GF_00509,69,69,0,69,3,0.0
GF_00510,72,72,0,72,3,0.0
GF_00511,70,70,0,70,3,0.0
GF_00512,53,53,0,53,2,0.0
GF_00513,71,71,0,71,3,0.0
GF_00514,71,71,0,71,3,0.0
